obj,estimator,delta_deg,seed,f_max_level,progress,max_track_err,contact_lost_frac,peak_force,wrist_f_max
46889,,0.0,726958,50.0,1.0092626988733575,0.16238726667064368,0.0,86.60254037844386,50.0
46889,,0.0,1075621,50.0,1.0102688218850848,0.12357263544364043,0.0,86.60254037844386,50.0
46889,,0.0,587108,50.0,1.017841601090016,0.1396546455293315,0.0,86.60254037844386,50.0
46889,,0.0,507375,50.0,1.014777127392016,0.12409063250057956,0.0,86.60254037844386,50.0
46889,,0.0,257132,50.0,1.0166782745985508,0.1261513744842604,0.0,86.60254037844386,50.0
46889,,0.0,292274,50.0,1.0142374945328247,0.14881938872038383,0.0,86.60254037844386,50.0
46889,,0.0,830820,50.0,1.0147674746727797,0.12245068724977963,0.0,86.60254037844386,50.0
46889,,0.0,850688,50.0,1.0172189385096293,0.14006795541779823,0.0,86.60254037844386,50.0
46889,,0.0,126293,50.0,1.0133048134755427,0.12135237222959769,0.0,86.60254037844386,50.0
46889,,0.0,278920,50.0,1.0132796548713907,0.12684065105986855,0.0,86.60254037844386,50.0
46889,,5.0,630894,50.0,1.1353656900053244,0.229740465404124,0.0,86.60254037844386,50.0
46889,,5.0,99497,50.0,1.0666232383170744,0.14819619173361617,0.0,86.60254037844386,50.0
46889,,5.0,1012947,50.0,1.0610120499999491,0.1562455676202299,0.0,86.60254037844386,50.0
46889,,5.0,632786,50.0,1.0814296984469445,0.14669856869083503,0.0,86.60254037844386,50.0
46889,,5.0,347360,50.0,0.9505606811809356,0.12282266853634896,0.0,86.60254037844386,50.0
46889,,5.0,991670,50.0,1.0405903708507256,0.10938465346319218,0.0,86.60254037844386,50.0
46889,,5.0,876834,50.0,0.9946753245935865,0.12880755563754043,0.0,86.60254037844386,50.0
46889,,5.0,473067,50.0,0.9723909130938195,0.11814561532683025,0.0,86.60254037844386,50.0
46889,,5.0,798913,50.0,0.9768179317730308,0.12405615698870909,0.0,86.60254037844386,50.0
46889,,5.0,750773,50.0,1.071191540821746,0.14948000262916186,0.0,86.60254037844386,50.0
46889,,10.0,825020,50.0,0.983596359302643,0.24811193157967787,0.00847457627118644,86.60254037844386,50.0
46889,,10.0,594317,50.0,1.0660526210847165,0.09432853767492848,0.0,86.60254037844386,50.0
46889,,10.0,315374,50.0,0.8726312294713084,0.11053796818014887,0.0,86.60254037844386,50.0
46889,,10.0,350824,50.0,0.9273476678713187,0.07959890088494065,0.0,86.60254037844386,50.0
46889,,10.0,215114,50.0,1.0981300855232519,0.11000436414113958,0.0,86.60254037844386,50.0
46889,,10.0,965214,50.0,0.9449540946297165,0.09702074587022111,0.0,86.60254037844386,50.0
46889,,10.0,581281,50.0,1.0650503919804217,0.08615655615375706,0.0,86.60254037844386,50.0
46889,,10.0,931270,50.0,1.302246579013031,0.34135145752890994,0.0,86.60254037844386,50.0
46889,,10.0,601372,50.0,1.0699386262383144,0.21664165804953361,0.0,86.60254037844386,50.0
46889,,10.0,1052973,50.0,0.8829095712630286,0.09952358661155326,0.0,86.60254037844386,50.0
46889,,15.0,667849,50.0,1.1140200229513568,0.25479141739634475,0.0,86.60254037844386,50.0
46889,,15.0,1079544,50.0,0.4966819479678696,0.24814145319558603,0.0,86.60254037844386,50.0
46889,,15.0,153501,50.0,0.9769099498992881,0.19275953330551163,0.0,86.60254037844386,50.0
46889,,15.0,750995,50.0,0.8757687750433166,0.15968861148063693,0.0,86.60254037844386,50.0
46889,,15.0,695054,50.0,0.9214239028508233,0.23183635073338282,0.058823529411764705,86.60254037844386,50.0
46889,,15.0,544510,50.0,1.0755907071407345,0.08868199985523695,0.0,86.60254037844386,50.0
46889,,15.0,799319,50.0,1.1801099892862958,0.23950722378467035,0.0,86.60254037844386,50.0
46889,,15.0,433017,50.0,1.168421842848954,0.14649594075880196,0.0,86.60254037844386,50.0
46889,,15.0,862981,50.0,1.1575834431692416,0.11290769240381075,0.0,86.60254037844386,50.0
46889,,15.0,398017,50.0,0.9887623295750946,0.16608078933821283,0.0,86.60254037844386,50.0
46889,,20.0,215838,50.0,1.2440728124320273,0.21642101987486764,0.0,86.60254037844386,50.0
46889,,20.0,161264,50.0,0.39023653226416494,0.3869037192842643,0.0,79.18643670659142,50.0
46889,,20.0,367123,50.0,1.072370683364055,0.1270286140867502,0.0,86.60254037844386,50.0
46889,,20.0,178541,50.0,0.9567401362981847,0.12694883012999003,0.0,86.60254037844386,50.0
46889,,20.0,325421,50.0,0.7561286781605971,0.20249255466851684,0.0,86.60254037844386,50.0
46889,,20.0,451473,50.0,0.8121422698375583,0.23846297041780035,0.0,86.60254037844386,50.0
46889,,20.0,793016,50.0,0.8971636529753166,0.28620259372717827,0.0,86.60254037844386,50.0
46889,,20.0,572819,50.0,0.41250916141461963,0.3117650715215518,0.0,86.60254037844386,50.0
46889,,20.0,953012,50.0,0.2944534866483377,0.26797467072273484,0.4864864864864865,86.60254037844386,50.0
46889,,20.0,980427,50.0,0.7330314243669034,0.21754489820022777,0.0,86.60254037844386,50.0
