gate,predictor,n,n_objects,positives,auroc,brier,auroc_lo,auroc_hi,brier_lo,brier_hi
completion80,e_axis,74752,73,63147,0.9080260725630062,0.0821239811036671,0.8576304891887411,0.9467012100276254,0.05405084154364811,0.111560175865093
completion80,e_pivot,74752,73,63147,0.9407313281791001,0.06953332434900765,0.9046810236429629,0.9679470166233523,0.04537900155424878,0.09624831962350844
completion80,e_geo,74752,73,63147,0.9577855605339659,0.05100446595692248,0.9221722062706699,0.9817629630308506,0.030998371407938985,0.07111801004814612
completion80,e_norm,74752,73,63147,0.9374848208996649,0.07308757640121792,0.903489229266497,0.9670063488072237,0.045648837043423485,0.10049086946488972
completion80,J_full,74752,73,63147,0.9797196248221266,0.01740252331034499,0.945037070635455,0.9985131158932654,0.007609038433797866,0.028683188162577183
completion80,J_eq16,74752,73,63147,0.9772286916175504,0.036558415604111626,0.9474584728564145,0.9952794176139254,0.019835835236356757,0.05579804282081904
tracking,e_axis,74752,73,29107,0.8521665426384697,0.15280471349846714,0.8107999932049611,0.8902966071618393,0.13151905201722158,0.17498234933575132
tracking,e_pivot,74752,73,29107,0.9600787460221474,0.07827226576083358,0.9457915498791786,0.9728145079399101,0.06309233546393529,0.09415513233607163
tracking,e_geo,74752,73,29107,0.9755854341457129,0.06595727492508566,0.9661013709500357,0.9838698140341295,0.05164089513804863,0.0803059972013048
tracking,e_norm,74752,73,29107,0.9976369050439575,0.017718708138957324,0.9957762127651636,0.9989571013946258,0.012084490616920953,0.024357013850827548
tracking,J_full,74752,73,29107,0.9754395775280439,0.06020797420980987,0.9631581300961425,0.9854417482645191,0.045110861472536984,0.07667543858810764
tracking,J_eq16,74752,73,29107,0.9768452853721661,0.06330605682140004,0.9665689478750916,0.9851935384207278,0.04904283787624141,0.07898130067827114
stall,e_axis,74752,73,49960,0.860156456885418,0.13614835379022217,0.7978522978450356,0.9100624297714666,0.11249611608890787,0.16103584622315673
stall,e_pivot,74752,73,49960,0.985132068223149,0.04515445824975481,0.9759290217455051,0.9926459230545684,0.030415038735008715,0.06112989084370096
stall,e_geo,74752,73,49960,0.9847064881656858,0.04667059776849672,0.9742839887221787,0.992432739582476,0.032348599429446186,0.06321613638148901
stall,e_norm,74752,73,49960,0.9827860279511121,0.049574246364012184,0.9715430247144997,0.9919474892652568,0.033016485263256075,0.06849403128383871
stall,J_full,74752,73,49960,0.9733759191929213,0.07745294772571412,0.9587290611905983,0.9841503614074292,0.05869823992860425,0.09915030649956719
stall,J_eq16,74752,73,49960,0.9603692117940884,0.0975926612935173,0.938549163763493,0.9772374315174274,0.07721695586966172,0.12078184155805323
