predictor,endpoint,r_threshold,n_objects_accepted,n_estimates_accepted,n_executions_accepted,actual_success_rate,mean_predicted_prob,pred_minus_actual
axis_err,firm,0.8,0,0,0,abstain_NA,abstain_NA,abstain_NA
axis_err,firm,0.9,0,0,0,abstain_NA,abstain_NA,abstain_NA
axis_err,completion85,0.8,12,3312,3312,0.9975845410628019,0.9304067599035629,-0.067177781159239
axis_err,completion85,0.9,12,2952,2952,0.997289972899729,0.9366327442507231,-0.06065722864900591
pivot_err,firm,0.8,9,1440,1440,0.8166666666666667,0.8609697529422305,0.0443030862755639
pivot_err,firm,0.9,2,192,192,1.0,0.9066631121574159,-0.0933368878425841
pivot_err,completion85,0.8,12,3432,3432,0.9696969696969697,0.9853159527177854,0.015618983020815658
pivot_err,completion85,0.9,12,3408,3408,0.9694835680751174,0.986464782374303,0.016981214299185643
e_geo,firm,0.8,10,1656,1656,0.7717391304347826,0.8979538733518592,0.12621474291707657
e_geo,firm,0.9,8,912,912,1.0,0.9316848424309194,-0.06831515756908058
e_geo,completion85,0.8,12,3360,3360,0.9904761904761905,0.9843770080076112,-0.006099182468579323
e_geo,completion85,0.9,12,3312,3312,0.9975845410628019,0.9864862963105412,-0.011098244752260733
e_norm,firm,0.8,7,1200,1200,1.0,0.980967055250173,-0.019032944749826974
e_norm,firm,0.9,6,1104,1104,1.0,0.992956468567754,-0.0070435314322460085
e_norm,completion85,0.8,12,3360,3360,0.9833333333333333,0.9741281147774271,-0.00920521855590617
e_norm,completion85,0.9,12,3312,3312,0.9830917874396136,0.976177049995555,-0.006914737444058572
J_cfg,firm,0.8,11,1896,1896,0.7072784810126582,0.9036467967104335,0.19636831569777524
J_cfg,firm,0.9,9,1344,1344,0.8690476190476191,0.921076268430988,0.05202864938336893
J_cfg,completion85,0.8,12,3360,3360,0.9904761904761905,0.9963005627703049,0.005824372294114366
J_cfg,completion85,0.9,12,3360,3360,0.9904761904761905,0.9963005627703049,0.005824372294114366
J_eq16,firm,0.8,9,1704,1704,0.7699530516431925,0.8968522656413358,0.1268992139981433
J_eq16,firm,0.9,7,1056,1056,0.9772727272727273,0.9146081878186105,-0.06266453945411676
J_eq16,completion85,0.8,12,3360,3360,0.9904761904761905,0.981430960639739,-0.009045229836451507
J_eq16,completion85,0.9,12,3336,3336,0.9976019184652278,0.9820209074535531,-0.01558101101167475
