domain,object_id,endpoint,n,n_pos,n_neg,pos_rate
target_rgb,10144,firm,288,24,264,0.08333333333333333
target_rgb,10144,completion85,288,264,24,0.9166666666666666
target_rgb,101593,firm,288,24,264,0.08333333333333333
target_rgb,101593,completion85,288,280,8,0.9722222222222222
target_rgb,101611,firm,288,264,24,0.9166666666666666
target_rgb,101611,completion85,288,288,0,1.0
target_rgb,102301,firm,288,0,288,0.0
target_rgb,102301,completion85,288,288,0,1.0
target_rgb,10849,firm,288,48,240,0.16666666666666666
target_rgb,10849,completion85,288,288,0,1.0
target_rgb,10905,firm,288,29,259,0.10069444444444445
target_rgb,10905,completion85,288,264,24,0.9166666666666666
target_rgb,35059,firm,288,279,9,0.96875
target_rgb,35059,completion85,288,288,0,1.0
target_rgb,40147,firm,288,264,24,0.9166666666666666
target_rgb,40147,completion85,288,288,0,1.0
target_rgb,46889,firm,288,145,143,0.5034722222222222
target_rgb,46889,completion85,288,288,0,1.0
target_rgb,47315,firm,288,264,24,0.9166666666666666
target_rgb,47315,completion85,288,288,0,1.0
target_rgb,7236,firm,288,0,288,0.0
target_rgb,7236,completion85,288,264,24,0.9166666666666666
target_rgb,7292,firm,288,0,288,0.0
target_rgb,7292,completion85,288,240,48,0.8333333333333334
source_flow_gaussian,100282,firm,1024,496,528,0.484375
source_flow_gaussian,100282,completion85,1024,1024,0,1.0
source_flow_gaussian,10068,firm,1024,462,562,0.451171875
source_flow_gaussian,10068,completion85,1024,768,256,0.75
source_flow_gaussian,10143,firm,1024,429,595,0.4189453125
source_flow_gaussian,10143,completion85,1024,1024,0,1.0
source_flow_gaussian,101584,firm,1024,410,614,0.400390625
source_flow_gaussian,101584,completion85,1024,1024,0,1.0
source_flow_gaussian,101603,firm,1024,511,513,0.4990234375
source_flow_gaussian,101603,completion85,1024,1024,0,1.0
source_flow_gaussian,101619,firm,1024,256,768,0.25
source_flow_gaussian,101619,completion85,1024,1024,0,1.0
source_flow_gaussian,101773,firm,1024,669,355,0.6533203125
source_flow_gaussian,101773,completion85,1024,1024,0,1.0
source_flow_gaussian,102278,firm,1024,583,441,0.5693359375
source_flow_gaussian,102278,completion85,1024,1024,0,1.0
