domain,predictor,endpoint,n_valid,n_total,coverage,n_pos,n_neg,pooled_auroc,pooled_brier,object_macro_brier,object_auroc_mean,n_objects_with_both_classes,const_baseline_brier,brier_skill_vs_const,auroc_ci95_lo,auroc_ci95_hi,auroc_boot_n_invalid
A_rgb_internal_looo,axis_err,firm,3456,3456,1.0,1341,2115,0.8552890031256446,0.14988750597594447,0.14988750597594444,0.7272452656768564,9,0.26847388851956,0.4417054604361488,0.7045536360180094,0.9559627615666149,0
A_rgb_internal_looo,axis_err,completion85,3168,3456,0.9166666666666666,3048,120,1.0,0.0010343985890499364,0.0010343985890499362,1.0,4,0.03701210915398243,0.9720524279028114,1.0,1.0,20
A_rgb_internal_looo,pivot_err,firm,3456,3456,1.0,1341,2115,0.925929628043008,0.10585181737413193,0.10585181737413192,0.9183176634789538,9,0.26847388851956,0.6057277005304746,0.8352538422319841,0.9857933702682976,0
A_rgb_internal_looo,pivot_err,completion85,3456,3456,1.0,3328,128,0.8109975961538461,0.03267952709097165,0.03267952709097165,0.8942857142857144,5,0.03618678366153113,0.09692092569939892,0.6022802455073426,0.9996638655462184,3
A_rgb_internal_looo,e_geo,firm,3456,3456,1.0,1341,2115,0.9734013465128701,0.057435994744172235,0.057435994744172235,0.9304879953378286,9,0.26847388851956,0.7860648755791845,0.9201131332994317,0.9990959814282443,0
A_rgb_internal_looo,e_geo,completion85,3456,3456,1.0,3328,128,0.9385516826923077,0.01125504437658141,0.01125504437658141,0.9942857142857143,5,0.03618678366153113,0.6889736186046773,0.728909952606635,1.0,3
A_rgb_internal_looo,e_norm,firm,2016,3456,0.5833333333333334,813,1203,0.9976856751111152,0.016963704138666935,0.01696370413866694,0.9905727703121633,7,0.26659935620636377,0.9363700483750005,0.9918406278738955,1.0,0
A_rgb_internal_looo,e_norm,completion85,3456,3456,1.0,3328,128,0.9110576923076923,0.021934124281433126,0.021934124281433126,0.9842857142857143,5,0.03618678366153113,0.3938636689408098,0.8080617498699348,1.0,3
A_rgb_internal_looo,J_cfg,firm,3456,3456,1.0,1341,2115,0.9460183730782046,0.10125579579587386,0.10125579579587386,0.991896068091841,9,0.26847388851956,0.6228467641519009,0.864829666170776,0.9939337120827919,0
A_rgb_internal_looo,J_cfg,completion85,3168,3456,0.9166666666666666,3048,120,0.9984251968503937,0.014668289472263831,0.014668289472263833,1.0,4,0.03701210915398243,0.6036894463042091,0.9901008935060494,1.0,20
A_rgb_internal_looo,J_eq16,firm,3168,3456,0.9166666666666666,1341,1827,0.9662990758801914,0.0644835452235902,0.06448354522359022,0.9656849433267676,9,0.2765916018541707,0.7668636907580864,0.9181287216467873,0.996298099274755,0
A_rgb_internal_looo,J_eq16,completion85,3168,3456,0.9166666666666666,3048,120,0.9984251968503937,0.007682492857919229,0.007682492857919229,1.0,4,0.03701210915398243,0.7924329892696048,0.9901008935060494,1.0,20
B_source_frozen,axis_err,firm,3456,3456,1.0,1341,2115,0.8966257847166029,0.17776176039047567,0.17776176039047567,0.7272452656768564,9,0.23760805375193922,0.2518698016185199,0.7718558121570215,0.9707341411651949,0
B_source_frozen,axis_err,completion85,3456,3456,1.0,3328,128,0.9813701923076923,0.012507743309511174,0.012507743309511174,0.8914285714285715,5,0.05525435231142442,0.7736333377140127,0.8909802416394099,1.0,3
B_source_frozen,pivot_err,firm,3456,3456,1.0,1341,2115,0.9449690873223645,0.22365430479879103,0.22365430479879103,0.9183176634789538,9,0.23760805375193922,0.05872590904564112,0.8724468214995725,0.9896505488234603,0
B_source_frozen,pivot_err,completion85,3456,3456,1.0,3328,128,0.9070012019230769,0.03178025440302159,0.031780254403021596,0.8942857142857144,5,0.05525435231142442,0.42483708389337715,0.7903802922420221,0.9998197473953552,3
B_source_frozen,e_geo,firm,3456,3456,1.0,1341,2115,0.9836995784875265,0.18034623576585337,0.18034623576585337,0.9304879953378286,9,0.23760805375193922,0.24099274869641707,0.9502615884694364,0.9992531949160889,0
B_source_frozen,e_geo,completion85,3456,3456,1.0,3328,128,0.9939903846153846,0.019207315053260458,0.019207315053260458,0.9942857142857143,5,0.05525435231142442,0.6523836720589132,0.9758207180219369,1.0,3
B_source_frozen,e_norm,firm,3456,3456,1.0,1341,2115,0.9994896367165395,0.014204677085472598,0.014204677085472598,0.9926677102427937,9,0.23760805375193922,0.9402180319177978,0.9976201759882432,1.0,0
B_source_frozen,e_norm,completion85,3456,3456,1.0,3328,128,0.9579326923076923,0.01690659423979756,0.016906594239797554,0.9842857142857143,5,0.05525435231142442,0.6940223976473625,0.9149885355592967,1.0,3
B_source_frozen,J_cfg,firm,3456,3456,1.0,1341,2115,0.969441138982764,0.20438378822481357,0.2043837882248136,0.991896068091841,9,0.23760805375193922,0.139828027722543,0.9241172533375073,0.9957191994814166,0
B_source_frozen,J_cfg,completion85,3456,3456,1.0,3328,128,0.9948918269230769,0.009053673173941384,0.009053673173941386,0.9771428571428572,5,0.05525435231142442,0.8361455198513034,0.9722220828315268,1.0,3
B_source_frozen,J_eq16,firm,3456,3456,1.0,1341,2115,0.9851127294651498,0.16621949070715678,0.16621949070715675,0.9656849433267676,9,0.23760805375193922,0.30044673115041587,0.9590330950605752,0.9980035661620171,0
B_source_frozen,J_eq16,completion85,3456,3456,1.0,3328,128,0.9926382211538461,0.008168630843989808,0.008168630843989807,0.9942857142857143,5,0.05525435231142442,0.8521631237671596,0.9731877573645866,1.0,3
