endpoint,predictor,n,n_objects,positives,failures,success_ap_reference,failure_ap_reference,auroc,brier,success_ap,success_ap_lo,success_ap_hi,success_ap_invalid_draws,failure_ap,failure_ap_lo,failure_ap_hi,failure_ap_invalid_draws,balanced_accuracy_p05,balanced_accuracy_p05_lo,balanced_accuracy_p05_hi,balanced_accuracy_p05_invalid_draws
firm,J_cfg,1728,6,789,939,0.4565972222222222,0.5434027777777778,0.8549281858785133,0.16696540366324092,0.8371235090581061,0.6945035594039003,0.976413769935305,0,0.8827779687046086,0.533285907287904,0.9910547895686088,0,0.7605959741979373,0.5783230017365685,0.8926169405815423,0
firm,J_eq16,1728,6,789,939,0.4565972222222222,0.5434027777777778,0.9180646833254372,0.09817196165398849,0.8732463101961692,0.6664741474147415,0.9950567514737839,0,0.9348855214747964,0.8504498006098992,0.9902269424948628,0,0.8843098191183081,0.7518412028799359,0.9585392427720922,0
firm,axis_err,1728,6,789,939,0.4565972222222222,0.5434027777777778,0.652658155063432,0.2524578051038929,0.5334564224580876,0.28768245978916807,0.8362347306640424,0,0.7455027225390235,0.2911233253177945,0.9415797110368719,0,0.6337236846900473,0.4711695797499772,0.7708668404414619,0
firm,e_geo,1728,6,789,939,0.4565972222222222,0.5434027777777778,0.9107111764396231,0.11154503841711472,0.9242028614415363,0.7792211718664259,0.9898080823105606,0,0.9071081921697248,0.6801460224617379,0.9943743647161493,0,0.8653591515931924,0.7794055274980102,0.9504686158097158,0
firm,e_norm,1728,6,789,939,0.4565972222222222,0.5434027777777778,0.996944812254765,0.01979092632847866,0.9958894786686916,0.9535712475929867,0.9997950743932202,0,0.9973209132753861,0.9863263444508158,0.9997707713955335,0,0.9726976761136554,0.9244663905702453,0.9958350904645742,0
firm,pivot_err,1728,6,789,939,0.4565972222222222,0.5434027777777778,0.9123632859161717,0.12383204732801403,0.9161256960859936,0.7546374881191757,0.9893995817127945,0,0.9135702948062865,0.7102426508887455,0.9880750644671747,0,0.7810529768340237,0.6309835119703423,0.9199849778841072,0
completion85,J_cfg,1728,6,1680,48,0.9722222222222222,0.027777777777777776,1.0,0.01380184065141223,1.0,0.9999999999999999,1.0,182,1.0,1.0,1.0,182,0.9928571428571429,0.9786996981891348,1.0,182
completion85,J_eq16,1728,6,1680,48,0.9722222222222222,0.027777777777777776,1.0,0.0027363973450298773,1.0,0.9999999999999999,1.0,182,1.0,1.0,1.0,182,1.0,1.0,1.0,182
completion85,axis_err,1728,6,1680,48,0.9722222222222222,0.027777777777777776,1.0,1.838978138090803e-06,1.0,0.9999999999999999,1.0,182,1.0,1.0,1.0,182,1.0,1.0,1.0,182
completion85,e_geo,1728,6,1680,48,0.9722222222222222,0.027777777777777776,1.0,0.013016096668105897,1.0,0.9999999999999999,1.0,182,1.0,1.0,1.0,182,0.9928571428571429,0.9786996981891348,1.0,182
completion85,e_norm,1728,6,1680,48,0.9722222222222222,0.027777777777777776,0.9428571428571428,0.014450684431020289,0.998304923414649,0.9942247157660553,1.0,182,0.6,0.06666666666666667,1.0,182,0.75,0.5,1.0,182
completion85,pivot_err,1728,6,1680,48,0.9722222222222222,0.027777777777777776,0.9857142857142858,0.02557700882024663,0.9996031746031746,0.998792270531401,1.0,182,0.5833333333333333,0.25,1.0,182,0.7428571428571429,0.4857142857142857,1.0,182
