condition,H,rho_test,n_objects,progress_diff_mean,progress_diff_ci_lo,progress_diff_ci_hi,tracking_T_diff_mean,tracking_T_diff_ci_lo,tracking_T_diff_ci_hi,stall_Q_diff_mean,stall_Q_diff_ci_lo,stall_Q_diff_ci_hi
gt,20,0.2,8,-0.16888577814492545,-0.17161161002445055,-0.1666027542855505,0.0,0.0,0.0,0.0,0.0,0.0
gt,20,0.4,8,-0.33722070057441617,-0.3424507083248498,-0.33352899288661775,0.0,0.0,0.0,0.0,0.0,0.0
gt,40,0.2,8,-0.1352858360569203,-0.13800932557026785,-0.133117341970429,0.0,0.0,0.0,0.0,0.0,0.0
gt,40,0.4,8,-0.26966658715390934,-0.2740636362692952,-0.2668608818618475,0.0,0.0,0.0,0.0,0.0,0.0
axis,20,0.2,8,-0.15440969642475838,-0.17072191115075552,-0.12796620800898573,0.0,0.0,0.0,-0.015625,-0.046875,0.0
axis,20,0.4,8,-0.30566719694599664,-0.34003188852021476,-0.2491387912496796,0.0,0.0,0.0,-0.015625,-0.046875,0.0
axis,40,0.2,8,-0.1232096186504707,-0.1356868688337401,-0.10287068814053696,0.0,0.0,0.0,0.0,0.0,0.0
axis,40,0.4,8,-0.2450618765665502,-0.2729015133500476,-0.199416631229456,0.0,0.0,0.0,0.0,0.0,0.0
pivot,20,0.2,8,-0.1684530149616649,-0.17434985062268013,-0.16367798961320068,0.0,0.0,0.0,0.0,0.0,0.0
pivot,20,0.4,8,-0.3361114782891693,-0.3455101865916401,-0.328139878985195,0.0,0.0,0.0,0.0,0.0,0.0
pivot,40,0.2,8,-0.13227565461717233,-0.1347060493179827,-0.12972745153736334,0.0,0.0,0.0,0.0,0.0,0.0
pivot,40,0.4,8,-0.2668244999013912,-0.2757994507115002,-0.25884981151703323,0.0,0.0,0.0,0.0,0.0,0.0
